eventID,occurrenceID,occurrenceStatus,specificEpithet,scientificName,scientificNameID,individualCount,scientificNameAuthorship,taxonomicStatus,taxonRank,kingdom,phylum,class,order,family,genus,lifeStage,sex,occurrenceRemarks,basisOfRecord
IYS:GoA2019:Stn2:trawl:sample18,IYS:GoA2019:Stn2:trawl:sample18:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample19,IYS:GoA2019:Stn2:trawl:sample19:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample20,IYS:GoA2019:Stn2:trawl:sample20:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample21,IYS:GoA2019:Stn2:trawl:sample21:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample22,IYS:GoA2019:Stn2:trawl:sample22:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample23,IYS:GoA2019:Stn2:trawl:sample23:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample24,IYS:GoA2019:Stn2:trawl:sample24:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample25,IYS:GoA2019:Stn2:trawl:sample25:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample26,IYS:GoA2019:Stn2:trawl:sample26:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample27,IYS:GoA2019:Stn2:trawl:sample27:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample28,IYS:GoA2019:Stn2:trawl:sample28:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample29,IYS:GoA2019:Stn2:trawl:sample29:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample30,IYS:GoA2019:Stn2:trawl:sample30:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample31,IYS:GoA2019:Stn2:trawl:sample31:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample32,IYS:GoA2019:Stn2:trawl:sample32:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample33,IYS:GoA2019:Stn2:trawl:sample33:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample34,IYS:GoA2019:Stn2:trawl:sample34:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample35,IYS:GoA2019:Stn2:trawl:sample35:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample36,IYS:GoA2019:Stn2:trawl:sample36:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample37,IYS:GoA2019:Stn2:trawl:sample37:occ,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,1,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:12,present,felis,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,2,"McGowan & Okutani, 1968",alternate representation,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:13,present,limbata,Aurelia limbata,urn:lsid:marinespecies.org:taxname:158199,1,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:14,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,43,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:15,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,9,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,adult,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:16,present,calceola,Corolla calceola,urn:lsid:marinespecies.org:taxname:532663,1,"(A. E. Verrill, 1880)",accepted,Species,Animalia,Mollusca,Gastropoda,Pteropoda,Cymbuliidae,Corolla,NA,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:17,present,cucumis,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,17,"(Mertens, 1833)",accepted,Species,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,NA,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:18,present,ringens,Lestidium ringens,urn:lsid:marinespecies.org:taxname:308673,1,"(Jordan & Gilbert, 1880)",unaccepted,Species,Animalia,Chordata,Actinopteri,Aulopiformes,Paralepididae,Lestidium,NA,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:19,present,gorbuscha,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,1,"(Walbaum, 1792)",accepted,Species,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,juvenile,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:20,present,kisutch,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,1,"(Walbaum, 1792)",accepted,Species,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,juvenile,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:21,present,borealijaponica,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,21,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,NA,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:22,present,camtshchatica,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,2,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,NA,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:23,present,acanthias,Squalus acanthias,urn:lsid:marinespecies.org:taxname:105923,1,"Linnaeus, 1758",accepted,Species,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,NA,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:occ:24,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,48,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample38,IYS:GoA2019:Stn3:trawl:sample38:occ,present,felis,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,1,"McGowan & Okutani, 1968",alternate representation,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA,NA,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample39,IYS:GoA2019:Stn3:trawl:sample39:occ,present,felis,Abraliopsis felis,urn:lsid:marinespecies.org:taxname:341849,1,"McGowan & Okutani, 1968",alternate representation,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,NA,NA,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample40,IYS:GoA2019:Stn3:trawl:sample40:occ,present,limbata,Aurelia limbata,urn:lsid:marinespecies.org:taxname:158199,1,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample41,IYS:GoA2019:Stn3:trawl:sample41:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample42,IYS:GoA2019:Stn3:trawl:sample42:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample43,IYS:GoA2019:Stn3:trawl:sample43:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample44,IYS:GoA2019:Stn3:trawl:sample44:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample45,IYS:GoA2019:Stn3:trawl:sample45:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample46,IYS:GoA2019:Stn3:trawl:sample46:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample47,IYS:GoA2019:Stn3:trawl:sample47:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample48,IYS:GoA2019:Stn3:trawl:sample48:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample49,IYS:GoA2019:Stn3:trawl:sample49:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample50,IYS:GoA2019:Stn3:trawl:sample50:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample51,IYS:GoA2019:Stn3:trawl:sample51:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample52,IYS:GoA2019:Stn3:trawl:sample52:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample53,IYS:GoA2019:Stn3:trawl:sample53:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample54,IYS:GoA2019:Stn3:trawl:sample54:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample55,IYS:GoA2019:Stn3:trawl:sample55:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn3:trawl:sample56,IYS:GoA2019:Stn3:trawl:sample56:occ,present,ringens,Lestidium ringens,urn:lsid:marinespecies.org:taxname:308673,1,"(Jordan & Gilbert, 1880)",unaccepted,Species,Animalia,Chordata,Actinopteri,Aulopiformes,Paralepididae,Lestidium,NA,unknown,NA,HumanObservation
